oil	output	price	time
2.1602235	-3.3183293	-32.176258	2002m11
-29.527275	1.4640732	-20.413069	2002m12
9.6564636	3.4229443	-8.1287985	2003m1
27.620361	3.066546	-2.4999509	2003m2
9.0965471	6.9081407	-12.433428	2003m3
-18.530441	10.495301	-29.785973	2003m4
.22736703	13.513622	-26.92194	2003m5
-13.919671	12.488285	-19.121819	2003m6
10.747082	12.45067	-16.802452	2003m7
7.9993062	14.555844	-15.28831	2003m8
12.142171	15.804106	-26.11006	2003m9
14.776328	30.342871	-19.733383	2003m10
3.547488	32.796761	-19.239904	2003m11
21.364908	35.016056	-15.373749	2003m12
-5.2978415	39.457996	-10.710175	2004m1
-.60993481	40.576355	-9.0703907	2004m2
-.42848992	37.861191	-4.6057515	2004m3
-.95097315	33.968685	-4.2078242	2004m4
-5.2011786	27.68524	5.1947355	2004m5
26.643549	22.303495	-1.6303715	2004m6
5.7723136	29.108652	5.3045001	2004m7
-15.282667	32.336098	14.628859	2004m8
10.227815	31.633911	16.821609	2004m9
8.1693316	33.372807	27.826717	2004m10
-5.7426701	39.162533	14.557807	2004m11
-6.161016	40.295982	-1.2652146	2004m12
11.203744	34.571514	8.4870281	2005m1
4.6284428	35.088299	13.766046	2005m2
5.3421736	35.579781	27.544489	2005m3
4.8330269	35.709126	26.023825	2005m4
2.5546029	31.678585	21.519375	2005m5
-6.1856642	20.805542	34.658642	2005m6
-2.5840888	15.329085	40.869743	2005m7
.99203801	13.559321	50.765625	2005m8
-6.8307514	19.668682	49.653477	2005m9
1.601133	23.688148	43.350666	2005m10
7.8602366	22.364508	33.650406	2005m11
4.6624632	17.539812	35.446575	2005m12
-8.2525806	12.955454	44.221893	2006m1
-1.8235353	15.534344	38.656223	2006m2
-2.5772085	18.024582	43.150063	2006m3
1.6644006	15.89522	54.727493	2006m4
-7.1471128	15.075465	57.502426	2006m5
-1.5265194	17.602791	56.26862	2006m6
16.556261	21.046427	62.150967	2006m7
-5.2276344	26.976715	59.417294	2006m8
-4.7113547	29.892897	45.027512	2006m9
5.6058879	31.524391	37.170521	2006m10
-6.0633354	32.620686	37.07151	2006m11
-3.5839241	33.443607	40.696712	2006m12
-1.3939093	34.715996	30.111544	2007m1
2.9826303	34.870975	37.938107	2007m2
-1.2282079	37.503922	42.135815	2007m3
4.5789099	40.206738	48.918468	2007m4
-8.764245	43.335625	50.165489	2007m5
-4.5300169	39.702492	55.749458	2007m6
7.3054576	43.253674	63.745743	2007m7
-11.455108	47.054657	60.214855	2007m8
14.142312	50.869389	65.459709	2007m9
10.104911	56.806755	73.676384	2007m10
-3.0388198	57.274223	81.208618	2007m11
7.3158593	56.824303	78.11541	2007m12
